latin,non-latin
"Astracarcā : Pulina Bihārī Dāśa racanā saṃgraha / sampādanā, Dīptanīla Rāẏa, Nikhileśa Bhaṭṭācārya = Astracharcha : collected works of Pulin Behari Das (1877-1949) / edited by Deeptanil Ray and Nikhilesh Bhattacharya.","অস্ত্রচর্চা : পুলিন বিহারী দাশ রচনা সংগ্রহ / সম্পাদনা, দীপ্তনীল রায়, নিখিলেশ ভট্টাচার্য = Astracharcha : collected works of Pulin Behari Das (1877-1949) / edited by Deeptanil Ray and Nikhilesh Bhattacharya."
"Chaṛābārshikī = Chorabarshiki / upadeshṭā, Selinā Hosena, Lākī Ināma ; pradhāna sampādaka Ānajīra Liṭana ; sampādaka Sujana Baṛuẏā, Mihira Musāki.","ছড়াবার্ষিকী = Chorabarshiki / উপদেষ্টা, সেলিনা হোসেন, লাকী ইনাম ; প্রধান সম্পাদক আনজীর লিটন ; সম্পাদক সুজন বড়ুয়া, মিহির মুসাকি."
"Puthikābya : Baṅgabandhu o muktiyuddha / bhūmikā, saṃkalana o granthana, Sāimana Jākāriẏā = Bangabandhu o muktijuddaha / introduction, compilation and interlacement by Saymon Zakaria.","পুথিকাব্য় : বঙ্গবন্ধু ও মুক্তিযুদ্ধ / ভূমিকা, সংকলন ও গ্রন্থন, সাইমন জাকারিয়ী = Bangabandhu o muktijuddaha / introduction, compilation and interlacement by Saymon Zakaria."
"Fables ... with its translation into Bengali poetry, by Raja Kali-Krishna Bahadur ...",
Lekhana : kabira saṃśodhita pratilipi saṃskaraṇa / Rabīndranātha Ṭhākura ; Nīlāñjana Bandyopādhyāẏa sampādita.,
Nāmagandha / Malaẏa Rāẏacaudhurī = Namgandha / by Malay Roychoudhury.,
"S.D. / direction, Kasturi Basu & Mitali Biswas ; script, Dwaipayan Banerjee ; produced by Kasturi Basu, Mitali Biswas & Dwaipayan Banerjee",
Manamohānā / [lekhaka] Śaktipada Rājaguru.,
"Bālucara : svanirbācita galpa, upanyāsa / Mr̥ṇala Caṭṭopādhyāẏa sampādita.",
Wound : recent sculptures & drawings : 4th to 18th August 2006 / Towfiqur Rahman.,
Amal : and the letter from the king / written by Chitra Gajadin ; illustrated by Helen Ong.,
Padatik (1973) / directed by Mrinal Sen.,
"Ijaazat / Vaishno Films Pvt. Ltd. presents ; story, Subodh Ghosh ; written and directed by Gulzar ; produced by R.K. Gupta & Sweety Mehta.",
"Śikhisamuccayaḥ : Indian and Tibetan studies : Collectanea Marpurgensia Indologica et Tibetica / edited by Dragomir Dimitrov, Ulrike Roesler and Roland Steiner.",
Śaityaprabāha / Oẏāsi Āhameda = Shoityaprobaha / by Wasi Ahmed.,
"Dhaka : a selected bibliography / chief editor, Sharif uddin Ahmed ; managing editor A.K.M. Golam Rabbani.",
"Mr̥ttikā / mūla, Kanryāḍ Rikṭār ; anubāda, Āyeśā Nōmān.",
"Parshuram / Angel Digital ; director, Mrinal Sen.",
Kochuripana : the soul of water / [directed by] Oasiuddin Ahmed.,
Mande : the soul of nature / [directed by] Oasiuddin Ahmed.,
Mahajanabandhu = The merchant's friend,
"Araṇānī / Kanarāḍ Rikaṭār : anubāḍaka, Sukūmār Sengupta.",
"Banānī / mūla lekhaka, Kanrāḍ Rikṭār ; Saiyaḍ Maksuḍ Ālī, anuḍita.",
Mr̥tyugandhī / Jākira Tālukadāra = Mrittugondhi / by Zakir Talukder.,
Kabitāsamagra / Sikāndāra Ābu Jāphara = Kobitasamagra / by Sikandar Abu Jafar.,
Apekshā / Śāmasuddina Āhmeda = Opekkha / written by Shamsuddin Ahmed.,
"Nagarī / mūla, Kanrād Rikṭār ; anubāḍa, Jāhānārā Imām.",
"Racanāsamagra / Śambhu Mitra ; sampādanā, Śām̐olī Mitra = Rachanasamagra / by Sombhu Mitra ; edited by Saoli Mitra.",
"Amanibāsa / Amara Mitra ; sampādanā, Anila Ghosha = Omnibas / by Amar Mitra ; edited by Anil Ghosh.",
Gujaripañcama / Ānoẏārā Saiẏada Haka = Gujoripancham / by Anowara Syed Haq.,
Surabhi / Imadādula Haka Milana = Shurovi / by Imadadul Haq Milan.,
Pārulakanyā / Imadādula Haka Milana = Parulkonnya / by Imdadul Haq Milan.,
Purabi : a miscellany in memory of Rabindranath Tagore 1941-1991 / edited by Krishna Dutta & Andrew Robinson ; foreword by Javier Pérez de Cuéllar.,
Inaṭārabhiu = Interview / Angel Digital presents.,
Chāẏābāstaba / Jākira Tālukadāra = Chayabastob / by Zakir Talukder.,
Rudraprahara / Mārupha Rasūla = Rudroprohor / by Maruf Rosul.,
Musalamānamaṅgala / Jākira Tālukadāra biracita.,
Sheaves; poems and songs by Rabindranath Tagore; selected and translated by Nagendranath Gupta.,
Haraṇa / Pārabheja Hosena = Horon / by Parvez Hossain.,
Galpasamagra / Saiẏada Mustāphā Sirāja.,
"Fireflies, by Rabindranath Tagore; decorations by Boris Artzybasheff.",
"Mashi, and other stories, by Sir Rabindranath Tagore; translated from the original Bengali by various writers.",
Prāntaparyanta / Saiẏada Śāmasula Haka = Prantoporjanto / Sayed Shamsul Haq.,
Deẏāla / Humāẏuna Āhameda = Deyal / by Humayun Ahmed.,
Tebhaga : an artist's diary and sketchbook / Somnath Hore ; translated from the Bengali by Somnath Zutshi.,
"Hviṭagenasṭāina : jagat̲, bhāshā o cintana / sampādanā, Tushāra Kānti Sarakāra, Śephālī Maitra, Indrāṇī Sānyāla = Wittgenstein : jagat, bhasa o cintan / edited by Tushar Kanti Sarkar, Shefali Moitra, Indrani Sanyal.",
"Manodarśana : śarīrabāda o tāra bikalpa / sampādanā, Mādhabendra Nātha Mitra, Amitā Cyāṭārjī, Praẏāsa Sarakāra = Manodarshan : sarirbad o tar bikalpa / edited by Madhabendra Nath Mitra, Amita Chattarjee, Proyash Sarkar.",
Caṇḍālikā : prakr̥tira abhisāra = Chandalika : prakritir abhisar / Sukānta Caudhurī.,
"Tri / Ākhatāra Bānu Jali, Manoẏāra Hosena, Surabhī Hāsanīna.",
"Threads / director, Cathy Stevulak ; producers, Leonard Hill, Cathy Stevulak.",
Galpasakala / Saiẏada Manajurula Isalāma = Golposokol / by Syed Manzoorul Islam.,
Firesongs / Dinesh Chandra Chattopadhyay ; translated by Somrita Urni Ganguly.,
Bhabnagar international journal of Bengal studies,
"Sati : a mythologicalstory / translated from the original Bengali by the author, Rai Saheb Dinesh Chandra Sen ; with an introd. by J.D. Anderson.",
"Baṅgabandhu : satabarshe śatakabitā / sampādanā parishada, sabhāpati Ābadula Gāphphāra Caudhurī ; sampādaka Monāẏema Sarakāra ; sadasya Saiyada Mohāmmada Śāheda, Āsāda Mānnāna, Saiẏada Jāhida Hāsāna.",
Sūbarṇapurāṇa / Pārabheja Hosena = Subarnapuran / Parvez Hossain.,
Agnikoṇa / Ājāda Bulabula = Agnikone / by Azad Bulbul.,
Śrīśrīkheẏālakhuśi / Arindama Basu = Sreesreekheyalkhushi / by Arindam Basu.,
"Jhūmara : gīta, saṅgīta, aura nr̥tya / Ḍô. Badarī Prasāda = Jhoomar : geet, sangeet, aur nritya / Dr. Badri Prasad.",
"Upanyāsasamagra / Śahīdullā Kāẏasāra ; bhūmikā, Ānisujjāmāna ; sampādanā, Pānnā Kāẏasāra.",
Padyamadyadruma / Sañjība Purahita ; paintings based on poems by Dewan Mijan ; translated from the Bangla by Farida Majid.,
Pratidvandvī / Hariśaṃkara Jaladāsa = Protidhondi / by Harishankar Jaladas.,
Bauṭhāna / Nimāi Bhaṭṭācārya = Bouthan / by Nemai Bhattacharya.,
Br̥haspatibāra / Badaruna Nāhāra = Brihospotibar / by Badrun Nahar.,
Kalakabjā : ekaṭi galpera bai / Mandākrāntā Sena = Kalkabja : ekti galpera boi / by Mandakranta Sen.,
Apekshā / Hāsanāna Āhameda = Opekkha / by Hasnan Ahmed.,
Piẏāsaharaṇa / Anila Ghaṛāi = Piyasharan / by Anil Gharai.,
Īśvaraputra / Praphulla Rāẏa = Ishwarputra / by Prafulla Roy.,
Jībanakshudhā / Hāsanāna Āhameda = Jibonkhudha / by Hasnan Ahmed.,
Pātālajala / Tamāla Bandyopādhyāẏa = Pataal jal / by Tamal Bandyopadhyay.,
Śaṅkhacila / Sāẏantanī Pūtatunḍa = Sankhachil / Sayantani Putatunda.,
Samakāmitā = Shomokameeta / Rokeẏā Liṭā = Homosexuality / Rokeya Lita.,
Punarutthāna / Amara Mitra = Punarutthan / by Amar Mitra.,
Racānasamagra / Śibāji Bandyopādhyāẏa = Rachanasamagra / a collected works of Sibaji Bandyapadhyay.,
Br̥ddhāśrama / E. Ema. Ena. Nūrula Haka = Briddhashrom / by A.N.M. Nurul Haque.,
Ghūrṇi / Selima Ājāda Caudhūrī.,
Bhubanaḍāṅāẏa / Rāphika Hāriri = Bhuban dangay / by Raafiq Hariri.,
Manobhūmi / Sucitrā Bhaṭṭācārya = Monobhumi / Suchitra Bhattacharya.,
Suṛaṅga / Selima Ājāda Caudhūrī = Surango / by Salim Azad Chowdhury.,
Duhswapno / Satyajit Ray Film & Television Institute of India presents ; directed by Lubna Sharmin.,
"Bhum = Terra / Satyajit Ray Film & Television Institute of India presents ; screenplay and direction, Debjani Bandopadhyay.",
"Gota / Satyajit Ray Film & Television Institute presents ; story, screenplay & direction, Vimalesh Ghodeswar.",
"Khon̐ja = In search / Satyajit Ray Film and Television Institute presents ; script & direction, Tridib Poddar.",
Sheep / Satyajit Ray Film & Television Institute presents ; written and directed by Areum Han.,
"Thikana / Satyajit Ray Film & Television Institute presents ; script and direction, Sasha Singh.",
"Threads / [a film by Kantha Productions] ; director, Cathy Stevulak ; producers, Leonard Hill, Cathy Stevulak.",
"""Con.tem.pla.tion"" : 4 March-16 March 2011 / Murshida Arzu Alpana.",
Nūrajāhāna / Imadādula Haka Milana = Nurjahan / by Imadadul Haq Milan.,
"Chitra, un drama en un acto por Rabindra Nath Tagore; traduccion del original bengali al ingles por el autor. Traduccion al castellano por Heramba Lal Gupta.",
Pherāra / Rūpaka Sāhā = Ferar / by Rupak Saha.,
Mr̥gaẏā / Bhagīratha Miśra = Mrigaya / by Bhagirath Mishra.,
Śrīcaitanyakathā / Kinnara Rāẏa = Srichaitanyakatha / by Kinnar Ray.,
"Racanāsamagra : Jāhānārā Imāma / sampādanā o bhūmikā, Sirājula Isalāma Caudhurī",
Galpasamagra / Nāsarīna Naīma = Golposomogra / by Nasreen Naim.,
Kāṭhakuṭo / Jhaṛeśvara Caṭṭopādhyāẏa = Kathkuto / by Jhareswar Chattopadhyay.,
Nirbāsana / Sādāta Hosāina = Nirbasan / by Sadat Hossain.,
Bahnilatā / Amara Mitra = Banhilata : a collection of two Bengali novels / by Amar Mitra.,
Sparśa / Kr̥shṇendu Mukhopādhyāẏa = Sparsha / by Krishnendu Mukhopadhyay.,
Muktiyuddha / Amitābha Caudhurī = Muktiyuddha : novel / by Amitabha Chaudhury.,
Baraputra / Dīpu Māhamuda = Borputra / a novel by Dipu Mahmud.,
Lekhaka / Mañju Sarakāra = Lekhok / by Manju Sarkar.,
Kathāmālā : 1 nabhela 11 galpa / Samareśa Majumadāra = Kothamālā : anthology of 1 novel 11 stories / by Samaresh Majumder.,
Bikelabelā / Saiẏada Ābula Makasuda = Bikelbela / Syed Abul Maksud.,
Māẏābanabihāriṇī / Samareśa Majumadāra = Mayabanabiharini / by Samaresh Mazumder.,
Khon̐ja / Śekha Barakata Ullāha = Khonj / by Shaikh Barkat Ullah.,
Cikandipura / Praphulla Rāẏa = Chikandipur : a Bengali novel / by Prafulla Roy.,
Ṭiṭicikori / Buddhadeba Guha = Titichikori / by Buddhadev Guha.,
Jarigan : Muslim epic songs of Bangladesh / Mary Frances Dunham.,
Aṭo ; o Bhogī / Nabāruṇa Bhaṭṭācārya = Auto ; o Bhogi : collection of two short stories / by Nabarun Bhattacharyya.,
"Watermark / a film by Jennifer Baichwal & Edward Burtynsky ; Entertainment One presents ; Sixth Wave Productions ; directed by Jennifer Baichwal and Edward Burtynsky ; produced by Nicholas de Pencier ; writer, Jennifer Baichwal.",
Galpasamagra / Ānisula Haka = Galposamogra / by Anisul Haque.,
Bilaḍākini / Nūruddina Jāhāṅgīra = Bildakini / Nuruddin Jahangir.,
Nigaṛa / Subrata Mukhopādhyāẏa = Nigarh / by Subrata Mukhopadhyay.,
Defamation = mānahāni / Āi. Ema. Ema. Mahasīna.,
Rajanīgandhāpura / Imadādula Haka Milana.,
Bhūkhaṇḍa / Anīka Āsāda = Bhukhando / by Anik Asad.,
"[Fire, a novel : Bengali].",
"[Storm : a novel, in Bengali].",
Baisaṃgraha : ayānṭi galpasaṃgraha / Subimala Miśra.,
Udbhaṭasāgara / Subrata Mukhopādhyāẏa = Udvatsagar / by Subrata Mukhopadhyay.,
Mro = Mro : paintings of Kanak Chanpa Chakma on the Mro Indigenous community / Kanak Chanpa Chakma.,
"Kabitāsamagra / Śahīda Kādarī ; bhūmikā, Śihāba Sarakāra = Kobitasomogro (complete works) / by Shaheed Quaderi.",
Mānabajanama / Sādāta Hosāina = Manabjanam / by Sadat Hossain.,
Jabarakhāki / Baṛṇālī Sāhā = Joborkhaki / by Barnali Saha.,
Bauliana : worshipping the great God in man : the Bauls of Bangladesh and Fakir Lalon Shah / Maqsoodul Haque.,
"Livick : metaphorical transformations = Livick : transformations métaphoriques / [Madeline Lennon, Ross Woodman, Bani Bal].",
Sām̐otāla : samāja saṃskr̥ti o saṃgrāma / Śibenduśekhara Miśra.,
"Puruliẏā / sampādakamaṇḍalī, Śrī Baruṇakumāra Cakrabartī, Śrīmatī Namitā Rāẏa (Mallika), Śrī Matilāla Kisku.",
"Nāẏaka / Āra. Ḍi. Banaśala nibedita ; prayojanā, Āra. Ḍi Banaśala o Śrīmatī Śaranakumārī Banaśala ; kāhinī, citranāṭya, saṃgīta o paricālanā, Satyajit̲ Rāẏa.",
"Portal : the curious account of Achintya Bose / conceptualized, compiled and reproduced by Shan Bhattacharya.",
Kabitāsamagra / Ābadula Hāi Śikadāra = Kobitasomogra / by Abdul Hai Shikdar.,
"Shahabuddin : the surge of emotion, 4th-19th January 2010.",
Bīkshaṇa : saṃkalita : 70 daśakera kiśora o yuba-chātradera mukhapatra = Beekkhan : a compilation.,
"Campābatī : kabi Jasīma Uddīnera ""Bedera meẏe"" abalamvane kābyagītināṭya / Saiẏada Śāmasula Haka = Champaboty / by Syed Shamsul Haq.",
Ghāsakanyā / Mani Hāẏadāra = Ghasskonna / by Moni Haider.,
Pāśā / Kājī Śāheda Ahāmeda = Pasha / by Kazi Shahid Ahmed.,
Āhnikagati / Jākira Tālukadāra = Annhikgoti / by Zakir Talukdar.,
Jādūgara / Bhagīratha Miśra = Jadoogar / by Bhagirath Mishra.,
Tithiḍora : muktiyuddhera ekaṭā upanyāsa hate pārato = Tithidor / Āhamada Baśīra.,
"L'alpona; ou, Les décorations rituelles au Bengale. Traduction d'Andrée Karpelès et de Tapanmohan Chatterji. Avec 50 figures.",
Nei / Jāphara Tālukadāra = Nei / by Jafar Talukder.,
Jalsaghar = The music room / Sony Pictures Classics ; written and directed by Satyajit Ray ; produced by Satyajit Ray Productions.,
"Sahr̥dayabhāratī = Sahṛdayabhāratī : tributes to a scholar-poet Professor Dr Sitanath Acharya Śāstrī / editorial board, Partha Pratim Das (editor-in-chief), Indira Chatterjee, Ruma Bandyopadhyay, Debkumar Das.",
"Awakening = Utthānaparba : Dhaka printmakers' show, 8-19 June, 2013 / Rokeya Sultana [and four others].",
"Mahanagar [videorecording] = The big city / The RDB Organization ; produced by R. D. Bansal ; screenplay, music, and direction by Satyajit Ray.",
Bengali / Hanne-Ruth Thompson.,
Āraśinagara / Sādāta Hosāina = Aarshinagor / by Sadat Hossain.,
Kāṅāla / Hariśaṃkara Jaladāsa = Kangal / by Harisankar Jaladas.,
Raṅamahāla / Rubāiẏāt̲ Āhameda = Rongmohal / by Rubayat Ahmed.,
Marīcikā / Āhasana Hābība = Morichika / by Ahsan Habib.,
Andaramahala / Sādāta Hosāina = Andarmahal / by Sadat Hossain.,
Bahirāgata / Jākira Tālukadāra = Bohiragato / by Jakir Talukder.,
Āṭakauṛehāṭa / Jāmaśeda Uddīna = Atkourehat / by Jamshed Uddin.,
"Nārībiśva / sampādanā, Pulaka Canda.",
Upanyasasamagra / Juliphiya Isalama = Uponnash somogro / by Julfia Islam.,
"Saṅkarṣaṇam = Saṇkarṣanṁ : research journal, Department of Sanskrit / general editor, Dr. Chandrima Goswami Bhattacharya.",
Rajabali : natyopanyasa / Da. Mukida Caudhuri = Rajabali / by Dr. Mukid Choudhury.,
Ijjata / Selinā Hosena = Ejjat / by Selina Hossain.,
Bātighara / Ḍa. Ākanda Sāmasuna Nāhāra = Batighor / by Dr. Akhand Shamsun Nahar.,
Ekasaṅge / Ramena Dāśagupta = Eksange / by Ramen Dasgupta.,
Janmaẏāna : du'ṭi nabhelā / Rabiśaṃkara Bala.,
Rahasya : 555 / Nīlāñjana Caṭṭopādhyāẏa.,
"Īshadābhāsa : agranthita ātmajaibanika upanyāsa / Śāmasuddīna Ābula Kālāma ; saṃgraha o sampādanā, Saumitra Deba = Eshadabas / by Shamsuddin Abul Kalam ; edited & collected by Soumitro Dev.",
Racanāsamagra / Yatīna Sarakāra = Rachana samagra / Jatin Sarker.,
Āghāta / Praphulla Rāẏa = Aghat / by Praphulla Roy.,
Wounds : solo prints exhibition = Kshata / Somnath Hore.,
"Charulata / the RDB Organization ; produced by R.D. Bansal ; screenplay, music, and direction by Satyajit Ray.",
"Deśabhāga : hārāno deśa hārāno mānusha / Amara Mitra ; bhūmikā o sampādanā, Mananakumāra Maṇḍala = Deshbhag : harano desh harano manus / by Amar Mitra.",
Pichuṭāna / Jāhāna Ārā Siddikī = Pichutan / by Jahan Ara Siddiqui.,
Pān̐camiśeli / Buddhadeba Guha = Panchmiseli / by Buddhadeb Guha.,
Canker : a novel / Sirshendu Mukhopadhyaya ; translated from the Bengali by Sachindra Lal Ghosh.,
Duryodhana / Hariśaṃkara Jaladāsa = Durjadhan / by Harishankar Jaladas.,
Galpasaṃgraha / Āhamāda Mostaphā Kāmāla = Galpo sangraha / Ahmad Mostofa Kamal.,
Acenā / Saiẏada Śāmasula Haka = Ochana / by Syed Shamsul Haq.,
"Remnants / Satyajit Ray Film & Television Institute presents ; screenplay & direction, Soumita Moitra.",
Proyojon = Need / Satyajit Ray Film & Television Institute presents ; directed by Debdatta Sengupta.,
Sonāli darajā / Śarīpha Khāna.,সোনালি দরজা / শরীফ খান.
Ekāttare orā / Pharidura Rejā Sāgara.,একাত্তরে ওরা / ফরিদুর রেজা সাগর.
"Ēkāttarēra niśāna / Rābēẏ̇ā Khātuna.",একাত্তরের নিশান / রাবেয়া খাতুন.
Hr̥daẏ̇e Bāṃlādeśa / Pānnā Kāẏasāra.,হৃদয়ে বাংলাদেশ / পান্না কায়সার
Jādumānika svādhīnatā / Bipradāśa Baṛuẏā.,জাদুমানিক স্বাধীনতা / বিপ্রদাশ বড়ুয়া.
Ekāttare orā / Pharidura Rejā Sāgara.,একাত্তরে ওরা / ফরিদুর রেজা সাগর.
Āgūnēra camaka / Ānoẏārā Saiẏada Haka.,আগূনের চমক / আনোয়ারা সৈয়দ হক.
Sabakhānei yuddha / Raphikuna Nabī.,সবখানেই যুদ্ধ / রফিকুন নবী.
Mujibanagarera sābu / Śaokata Osamāna.,মুজিবনগরের সাবু  / শওকত ওসমান.
Śōbhanēra ēkāttara / Kāijāra Caudhurī.,শোভনের একাত্তর / কাইজার চৌধুরী.
Ābola tābola / Sukumāra Rāẏa.,আবোল তাবোল / সুকুমার রায়.
"Śreshṭha kabitā / Kāmāla Caudhurī.",শ্রেষ্ঠ কবিতা / কামাল চৌধুরী.
Ācchannatāra bāgāna / Hāmīma Kāmarula Haka.,আচ্ছন্নতার বাগান / হামীম কামরুল হক.
"Ḍyāḍi samagra / Golāma Kāsema (Ḍyāḍi) ; saṃgraha-gabeshaṇā-bhūmikā-sampādanā, Sāhādāta Pārabheja.","ড্যাডি সমগ্র / গোলাম কাসেম (ড্যাডি) ; সংগ্রহ-গবেষণা-ভূমিকা-সম্পাদনা, সাহাদাত পারভেজ."
Muktiyuddhera upanyāsasamagra / Rābeẏā Khātuna = Muktijuddher uponyassamogra / by Rabeya Khatun.,মুক্তিযুদ্ধের উপন্যাসসমগ্র / রাবেয়া খাতুন = Muktijuddher uponyassamogra / by Rabeya Khatun.
"Ḍumura phula = Dumur phool / galpa, Rinacina ; chabi, Bipula Barmā ; anubāda, Mañjīra Ghosha.","ডুমুর ফুল / গল্প, রিনচিন ; ছবি, বিপুল বর্মা ; অনুবাদ, মঞ্জীর ঘোষ"
